method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls
PU-G,1,0.4,0.3,2100,900,413,0,413,0.22701438126387075,0.020199999999999996,2.4773230829741806,1,410
GREATS,1,0.4,0.3,2100,900,466,0,466,,0.013399999999999967,3.5348855839692988,1,463
MaxLoss,1,0.4,0.4,1800,1200,310,0,310,0.20322154753375798,0.028800000000000048,0.5503233749768697,1,307
PU-C,1,0.4,0.4,1800,1200,344,0,344,0.2234174768673256,0.013900000000000023,1.9053674160386436,1,341
PU-F,1,0.4,0.4,1800,1200,303,0,303,0.19904772489098832,0.01319999999999999,2.6624555409653112,1,300
PU-G,1,0.4,0.4,1800,1200,352,0,352,0.22815192653797567,0.031399999999999983,3.690525291953236,1,349
GREATS,1,0.4,0.4,1800,1200,401,0,401,,0.011099999999999999,1.8256056250538677,1,398
MaxLoss,1,0.4,0.5,1500,1500,294,0,294,0.23160282074240968,0.04500000000000004,0.4884716249653138,1,291
PU-C,1,0.4,0.5,1500,1500,285,0,285,0.2251785016269423,0.022199999999999998,1.303921166982036,1,282
PU-F,1,0.4,0.5,1500,1500,272,0,272,0.2158759519807063,0.026699999999999946,1.627148124971427,1,269
PU-G,1,0.4,0.5,1500,1500,323,0,323,0.2522202433901839,0.03280000000000005,2.2583086250233464,1,320
GREATS,1,0.4,0.5,1500,1500,340,0,340,,0.02290000000000003,1.1662214579991996,1,337
MaxLoss,1,0.4,0.6,1200,1800,228,0,228,0.22916585637722164,0.026900000000000035,0.4055359159829095,1,225
PU-C,1,0.4,0.6,1200,1800,222,0,222,0.2237659049569629,0.023399999999999976,0.7452597910305485,1,219
PU-F,1,0.4,0.6,1200,1800,254,0,254,0.252453961817082,0.030399999999999983,0.7793906250153668,1,251
PU-G,1,0.4,0.6,1200,1800,249,0,249,0.24798900983296335,0.025000000000000022,0.7648343750042841,1,246
GREATS,1,0.4,0.6,1200,1800,246,0,246,,0.026499999999999968,0.5716994170215912,1,243
MaxLoss,1,0.4,0.7,900,2100,163,0,163,0.22530872625065967,0.03920000000000001,0.3330337920342572,1,160
PU-C,1,0.4,0.7,900,2100,167,0,167,0.2301632518065162,0.0464,0.4028791669989005,1,164
PU-F,1,0.4,0.7,900,2100,171,0,171,0.23500855593010783,0.03920000000000001,0.4963555419817567,1,168
PU-G,1,0.4,0.7,900,2100,176,0,176,0.2410525784944184,0.052100000000000035,0.47777466697152704,1,173
GREATS,1,0.4,0.7,900,2100,186,0,186,,0.04269999999999996,0.4528839169652201,1,183
MaxLoss,1,0.4,0.8,600,2400,88,0,88,0.19636580476071686,0.05559999999999998,0.27131895802449435,1,85
PU-C,1,0.4,0.8,600,2400,101,0,101,0.22074463200988248,0.06810000000000005,0.30215704103466123,1,98
PU-F,1,0.4,0.8,600,2400,87,0,87,0.19447691208915785,0.045599999999999974,0.31806962500559166,1,84
PU-G,1,0.4,0.8,600,2400,105,0,105,0.2281844211393036,0.027800000000000047,0.3364243329851888,1,102
GREATS,1,0.4,0.8,600,2400,92,0,92,,0.02180000000000004,0.3047832500305958,1,89
MaxLoss,2,0.0,0.0,3000,0,120,0,120,0.05250743729993701,0.01529999999999998,0.13275883300229907,1,117
PU-C,2,0.0,0.0,3000,0,116,0,116,0.050975687336176634,0.01629999999999998,0.21294516703346744,1,113
PU-F,2,0.0,0.0,3000,0,123,0,123,0.053653962444514036,0.0131,0.31836616597138345,1,120
PU-G,2,0.0,0.0,3000,0,108,0,108,0.04790108359884471,0.00770000000000004,0.3191302089835517,1,105
GREATS,2,0.0,0.0,3000,0,107,0,107,,0.0046000000000000485,0.4732634579995647,1,104
MaxLoss,2,0.0,0.1,2700,300,45,0,45,0.025444759579841048,0.008399999999999963,0.09086774999741465,1,42
PU-C,2,0.0,0.1,2700,300,41,0,41,0.023598499014042318,0.006000000000000005,0.09559458296280354,1,38
PU-F,2,0.0,0.1,2700,300,56,0,56,0.030447359604295343,0.008199999999999985,0.1180699160322547,1,53
PU-G,2,0.0,0.1,2700,300,77,0,77,0.03977406141348183,0.008199999999999985,0.15007254102965817,1,74
GREATS,2,0.0,0.1,2700,300,69,0,69,,0.006900000000000017,0.1340660830028355,1,66
MaxLoss,2,0.0,0.2,2400,600,32,0,32,0.021787392208352685,0.005700000000000038,0.08446666598320007,1,29
PU-C,2,0.0,0.2,2400,600,50,0,50,0.031179819023236632,0.010099999999999998,0.11408900003880262,1,47
PU-F,2,0.0,0.2,2400,600,42,0,42,0.02705520042218268,0.005199999999999982,0.11209612502716482,1,39
PU-G,2,0.0,0.2,2400,600,19,0,19,0.014651537698227912,0.0032999999999999696,0.08139241702156141,1,16
GREATS,2,0.0,0.2,2400,600,32,0,32,,0.0041999999999999815,0.09486329194623977,1,29
MaxLoss,2,0.0,0.3,2100,900,28,0,28,0.022426654177252203,0.0048000000000000265,0.10937004198785871,1,25
PU-C,2,0.0,0.3,2100,900,46,0,46,0.03326353122247383,0.006399999999999961,0.13653924997197464,1,43
PU-F,2,0.0,0.3,2100,900,44,0,44,0.03208407701458782,0.005499999999999949,0.1402245830395259,1,41
PU-G,2,0.0,0.3,2100,900,36,0,36,0.027310927340295166,0.005600000000000049,0.1309684159932658,1,33
GREATS,2,0.0,0.3,2100,900,26,0,26,,0.0030000000000000027,0.11636099999304861,1,23
MaxLoss,2,0.0,0.4,1800,1200,18,0,18,0.01875582296634093,0.0036000000000000476,0.12218308297451586,1,15
PU-C,2,0.0,0.4,1800,1200,24,0,24,0.023234111547935754,0.0036000000000000476,0.133450833032839,1,21
PU-F,2,0.0,0.4,1800,1200,18,0,18,0.01875582296634093,0.0043999999999999595,0.12923116702586412,1,15
PU-G,2,0.0,0.4,1800,1200,33,0,33,0.02971941459691152,0.006700000000000039,0.14745720801874995,1,30
GREATS,2,0.0,0.4,1800,1200,35,0,35,,0.006299999999999972,0.15101062500616536,1,32
MaxLoss,2,0.0,0.5,1500,1500,21,0,21,0.025193650973960757,0.006700000000000039,0.14802825002698228,1,18
PU-C,2,0.0,0.5,1500,1500,16,0,16,0.020651578553952277,0.0041999999999999815,0.15931045799516141,1,13
PU-F,2,0.0,0.5,1500,1500,19,0,19,0.023395154566969723,0.005199999999999982,0.1576260000001639,1,16
PU-G,2,0.0,0.5,1500,1500,16,0,16,0.020651578553952277,0.0017000000000000348,0.14638375001959503,1,13
GREATS,2,0.0,0.5,1500,1500,22,0,22,,0.0040000000000000036,0.15440508304163814,1,19
MaxLoss,2,0.0,0.6,1200,1800,16,0,16,0.025781950331293046,0.005800000000000027,0.16991191601846367,1,13
PU-C,2,0.0,0.6,1200,1800,10,0,10,0.018649740784894675,0.0021999999999999797,0.16743733297334984,1,7
PU-F,2,0.0,0.6,1200,1800,15,0,15,0.024623136851005256,0.0039000000000000146,0.1763017910416238,1,12
PU-G,2,0.0,0.6,1200,1800,21,0,21,0.03144788567442447,0.0041999999999999815,0.17986500001279637,1,18
GREATS,2,0.0,0.6,1200,1800,15,0,15,,0.0046000000000000485,0.1753978340420872,1,12
MaxLoss,2,0.0,0.7,900,2100,8,0,8,0.021493067673873156,0.0020999999999999908,0.18633433297509328,1,5
PU-C,2,0.0,0.7,900,2100,10,0,10,0.024822357401717454,0.0014999999999999458,0.18995275004999712,1,7
PU-F,2,0.0,0.7,900,2100,12,0,12,0.02805392601294443,0.0019000000000000128,0.1914144580368884,1,9
PU-G,2,0.0,0.7,900,2100,12,0,12,0.02805392601294443,0.0016000000000000458,0.19154445797903463,1,9
GREATS,2,0.0,0.7,900,2100,9,0,9,,0.0041999999999999815,0.18840987503062934,1,6
MaxLoss,2,0.0,0.8,600,2400,9,0,9,0.03463902446674183,0.0011999999999999789,0.20646637497702613,1,6
PU-C,2,0.0,0.8,600,2400,8,0,8,0.03213391738245264,0.0011999999999999789,0.20747287495760247,1,5
PU-F,2,0.0,0.8,600,2400,10,0,10,0.037101879774127156,0.0021999999999999797,0.20807379100006074,1,7
PU-G,2,0.0,0.8,600,2400,9,0,9,0.03463902446674183,0.0011999999999999789,0.20816795801511034,1,6
GREATS,2,0.0,0.8,600,2400,8,0,8,,0.0049000000000000155,0.20787620899500325,1,5
MaxLoss,2,0.4,0.0,3000,0,387,0,387,0.15046584833180532,0.026100000000000012,0.5783443750115111,1,384
PU-C,2,0.4,0.0,3000,0,397,0,397,0.15403954300563782,0.015499999999999958,2.626025417004712,1,394
PU-F,2,0.4,0.0,3000,0,412,0,412,0.15939182799775153,0.01429999999999998,4.89346412505256,1,409
PU-G,2,0.4,0.0,3000,0,455,0,455,0.1746836540987715,0.02180000000000004,5.061553500010632,1,452
GREATS,2,0.4,0.0,3000,0,465,0,465,,0.020399999999999974,3.772196875012014,1,462
MaxLoss,2,0.4,0.1,2700,300,383,0,383,0.1653816276229918,0.013700000000000045,0.6207086250069551,1,380
PU-C,2,0.4,0.1,2700,300,398,0,398,0.17132619221229106,0.02180000000000004,2.636896833020728,1,395
PU-F,2,0.4,0.1,2700,300,370,0,370,0.1602200951310806,0.01749999999999996,3.708234292047564,1,367
PU-G,2,0.4,0.1,2700,300,481,0,481,0.20402703410945833,0.01859999999999995,5.26402879197849,1,478
