method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,2,0.1,0.0,3000,0,228,0,228,0.09289913187967613,0.00649999999999995,0.32190345897106454,1,225,0.17543859649122806,0.25,0.5184246897697449
PU-C,2,0.1,0.0,3000,0,203,0,203,0.08367816428653896,0.0047000000000000375,0.9408304159878753,1,200,0.17733990147783252,0.2413793103448276,0.5450848937034607
PU-F,2,0.1,0.0,3000,0,206,0,206,0.08478796045528725,0.008399999999999963,1.7056895419955254,1,203,0.1941747572815534,0.23786407766990292,0.5362935066223145
PU-G,2,0.1,0.0,3000,0,266,0,266,0.10680909542134032,0.0043999999999999595,2.0051183340256102,1,263,0.15037593984962405,0.2593984962406015,0.4455944895744324
GREATS,2,0.1,0.0,3000,0,271,0,271,,0.0047000000000000375,1.0120504579972476,1,268,0.14760147601476015,0.3062730627306273,0.5236800312995911
MaxLoss,2,0.2,0.0,3000,0,244,0,244,0.09877034503733739,0.005299999999999971,0.4754819580120966,1,241,0.2827868852459016,0.4057377049180328,0.5581040978431702
PU-C,2,0.2,0.0,3000,0,266,0,266,0.10680909542134032,0.012800000000000034,1.267786791024264,1,263,0.2556390977443609,0.41353383458646614,0.6431536078453064
PU-F,2,0.2,0.0,3000,0,290,0,290,0.11553804914001375,0.0042999999999999705,2.6312207079608925,1,287,0.2413793103448276,0.3689655172413793,0.4261356592178345
PU-G,2,0.2,0.0,3000,0,376,0,376,0.1465295035741292,0.010399999999999965,3.2964056250057183,1,373,0.19414893617021275,0.3617021276595745,0.4216008484363556
GREATS,2,0.2,0.0,3000,0,367,0,367,,0.009199999999999986,1.780526791990269,1,364,0.2016348773841962,0.34877384196185285,0.25971150398254395
MaxLoss,2,0.3,0.0,3000,0,452,0,452,0.17361913050990552,0.010600000000000054,0.8560526659712195,1,449,0.25663716814159293,0.43805309734513276,0.46890997886657715
PU-C,2,0.3,0.0,3000,0,409,0,409,0.15832214610418305,0.017800000000000038,2.1816449590260163,1,406,0.2885085574572127,0.4547677261613692,0.44323858618736267
PU-F,2,0.3,0.0,3000,0,417,0,417,0.16117378696799278,0.015499999999999958,4.849320665991399,1,414,0.2709832134292566,0.4556354916067146,0.47313830256462097
PU-G,2,0.3,0.0,3000,0,463,0,463,0.17752073903102428,0.012800000000000034,4.449109332985245,1,460,0.2526997840172786,0.42116630669546434,0.3220319449901581
GREATS,2,0.3,0.0,3000,0,522,0,522,,0.01649999999999996,3.0017722499906085,1,519,0.22988505747126436,0.39655172413793105,0.37790706753730774
MaxLoss,2,0.4,0.0,3000,0,387,0,387,0.15046584833180532,0.026100000000000012,0.7080442080041394,1,384,0.35400516795865633,0.4134366925064599,0.43995118141174316
PU-C,2,0.4,0.0,3000,0,397,0,397,0.15403954300563782,0.015499999999999958,2.01182916702237,1,394,0.3602015113350126,0.4156171284634761,0.4416947662830353
PU-F,2,0.4,0.0,3000,0,412,0,412,0.15939182799775153,0.01429999999999998,3.9686648339848034,1,409,0.3325242718446602,0.41262135922330095,0.5490671396255493
PU-G,2,0.4,0.0,3000,0,455,0,455,0.1746836540987715,0.02180000000000004,4.335440666007344,1,452,0.3076923076923077,0.3934065934065934,0.6329975128173828
GREATS,2,0.4,0.0,3000,0,465,0,465,,0.020399999999999974,2.691087957995478,1,462,0.2946236559139785,0.38924731182795697,0.43870967626571655
